name,position
Josh Allen (Bills),QB
Lamar Jackson (Ravens),QB
Jayden Daniels (Redskins),QB
Jalen Hurts (Eagles),QB
Joe Burrow (Bengals),QB
Patrick Mahomes (Chiefs),QB
Baker Mayfield (Buccaneers),QB
Drake Maye (Patriots),QB
Trevor Lawrence (Jaguars),QB
Bo Nix (Broncos),QB
Brock Purdy (49ers),QB
Caleb Williams (Bears),QB
Justin Herbert (Chargers),QB
Kyler Murray (Cardinals),QB
J.J. McCarthy (Vikings),QB
Justin Fields (Jets),QB
Cam Ward (Titans),QB
Jared Goff (Lions),QB
Jordan Love (Packers),QB
C.J. Stroud (Texans),QB
Dak Prescott (Cowboys),QB
Tua Tagovailoa (Dolphins),QB
Matthew Stafford (Rams),QB
Geno Smith (Raiders),QB
Aaron Rodgers (Steelers),QB
Michael Penix (Falcons),QB
Sam Darnold (Seahawks),QB
Bryce Young (Panthers),QB
Anthony Richardson (Colts),QB
Daniel Jones (Colts),QB
Kirk Cousins (TBA),QB
Russell Wilson (Giants),QB
Tyler Shough (Saints),QB
Shedeur Sanders (Browns),QB
Joe Flacco (Browns),QB
Bijan Robinson (Falcons),RB
Saquon Barkley (Eagles),RB
Jahmyr Gibbs (Lions),RB
Bucky Irving (Buccaneers),RB
Chase Brown (Bengals),RB
De'Von Achane (Dolphins),RB
Derrick Henry (Ravens),RB
Ashton Jeanty (Raiders),RB
Josh Jacobs (Packers),RB
Kyren Williams (Rams),RB
TreVeyon Henderson (Patriots),RB
Omarion Hampton (Chargers),RB
Christian McCaffrey (49ers),RB
Jonathan Taylor (Colts),RB
Chuba Hubbard (Panthers),RB
James Cook (Bills),RB
Kenneth Walker (Seahawks),RB
D'Andre Swift (Bears),RB
R.J.  Harvey (Broncos),RB
Breece Hall (Jets),RB
Alvin Kamara (Saints),RB
Tony Pollard (Titans),RB
Aaron Jones (Vikings),RB
Isiah Pacheco (Chiefs),RB
Tyrone Tracy (Giants),RB
James Conner (Cardinals),RB
Zach Charbonnet (Seahawks),RB
David Montgomery (Lions),RB
Tank Bigsby (Jaguars),RB
